cartodb_id,the_geom,id,id_1,highway,height,lamp_count,lamp_height,lamp_light,lamp_lit,lamp_shape,lamp_tilt,lit,light_colour,light_count,light_lit,light_method,light_shape,light_tilt,support,_natural,amenity
66,0101000020E6100000EEE2474618D00DC081BEE3CA8F394440,node/3456447232,node/3456447232,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
67,0101000020E6100000E13D51233ED10DC00F79CBD58F394440,node/3456447233,node/3456447233,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
68,0101000020E6100000F42EDE8FDBCF0DC0A951FEA490394440,node/3456447234,node/3456447234,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
69,0101000020E6100000FC7266BB42CF0DC0EC408CC690394440,node/3456447235,node/3456447235,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
70,0101000020E610000055A4671FD0CE0DC02DE8627891394440,node/3456447236,node/3456447236,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
71,0101000020E6100000BF61FDFA7CCF0DC0FD63C68091394440,node/3456447237,node/3456447237,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
72,0101000020E61000002755360763CF0DC0E3E13D0796394440,node/3456447238,node/3456447238,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
73,0101000020E6100000BEEF8403C6CF0DC0F5A8537996394440,node/3456447239,node/3456447239,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
74,0101000020E6100000CC4F60F01FD10DC0ADE2E88596394440,node/3456447240,node/3456447240,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
75,0101000020E6100000568AD3FF28D00DC0248914B996394440,node/3456447241,node/3456447241,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
76,0101000020E61000004FBAE303F1D00DC0BEBD6BD097394440,node/3456447242,node/3456447242,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
77,0101000020E61000000E260F5542D10DC051291B7B9B394440,node/3456447243,node/3456447243,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
78,0101000020E6100000AA4885B185D00DC0A397079F9C394440,node/3456447244,node/3456447244,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
79,0101000020E6100000696803B001D10DC0805FC88F9D394440,node/3456447245,node/3456447245,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
80,0101000020E6100000CF80D5ECDCCF0DC01A941FA79E394440,node/3456447246,node/3456447246,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
81,0101000020E61000001BCB05781CD00DC0000462C8A0394440,node/3456447247,node/3456447247,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
82,0101000020E6100000143DF03158D10DC0936F1173A4394440,node/3456447248,node/3456447248,street_lamp,4,,,,,,,,orange,1,dusk-dawn,sodium,spherical,0,pole,,
83,0101000020E61000008BB4F9241CCF0DC03A4CEABAA6394440,node/3456447249,node/3456447249,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
84,0101000020E610000045BD964682CF0DC03A4CEABAA6394440,node/3456447250,node/3456447250,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
85,0101000020E6100000B915C26A2CD10DC03A4CEABAA6394440,node/3456447251,node/3456447251,street_lamp,4,,,,,,,,orange,1,dusk-dawn,sodium,spherical,0,pole,,
86,0101000020E6100000CE7AE706F9CF0DC0A4A08092A7394440,node/3456447252,node/3456447252,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
87,0101000020E6100000F99E91088DD00DC06EA12B11A8394440,node/3456447253,node/3456447253,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
88,0101000020E6100000DCC3149B45CE0DC0671A03A1AB394440,node/3456447254,node/3456447254,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
89,0101000020E61000008D486F1349CF0DC0A9B3A4EDA9394440,node/3456447255,node/3456447255,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
90,0101000020E610000029194A37D3CE0DC0CDB79965AA394440,node/3456447256,node/3456447256,street_lamp,4,,,,,,,yes,orange,1,dusk-dawn,sodium,spherical,0,pole,,
91,0101000020E6100000B29B19FD68D80DC0F960BE6147394440,node/3456452075,node/3456452075,street_lamp,,,,,,,,yes,,,,,,,,,
92,0101000020E61000008759C3A0A7DC0DC0AF40F4A44C394440,node/3456452076,node/3456452076,street_lamp,,,,,,,,,,,,,,,,,
93,0101000020E6100000397073CF5FDD0DC085798F334D394440,node/3456452077,node/3456452077,street_lamp,,,,,,,,,,,,,,,,,
94,0101000020E6100000F4CD4763FEDB0DC0A37895B54D394440,node/3456452078,node/3456452078,street_lamp,,,,,,,,,,,,,,,,,
95,0101000020E61000002D150AC7E2DD0DC0495BA6704E394440,node/3456452079,node/3456452079,street_lamp,,,,,,,,,,,,,,,,,
96,0101000020E610000078E45993B8D80DC0072461DF4E394440,node/3456452080,node/3456452080,street_lamp,,,,,,,,,,,,,,,,,
97,0101000020E61000000092448A5CDB0DC0072461DF4E394440,node/3456452081,node/3456452081,street_lamp,,,,,,,,,,,,,,,,,
98,0101000020E6100000584FADBEBADA0DC05AD4CCFF50394440,node/3456452082,node/3456452082,street_lamp,,,,,,,,,,,,,,,,,
99,0101000020E6100000C98FF8156BD80DC006BCCCB051394440,node/3456452083,node/3456452083,street_lamp,,,,,,,,yes,,,,,,,,,
100,0101000020E6100000E877503F5EDE0DC094426A2453394440,node/3456452084,node/3456452084,street_lamp,,,,,,,,,,,,,,,,,
101,0101000020E61000009081E1010ADA0DC0AC84382053394440,node/3456452085,node/3456452085,street_lamp,,,,,,,,,,,,,,,,,
